Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Water Department,1491254798,1493743426,Trash Removed From Creeks,242,16,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Trash-Removed-From-Creeks/w6y7-dgka,1493743300,391,362
Recreation and Culture,1492556027,1492556635,RP City Parks,226,16,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/RP-City-Parks/c28i-4gmw,1492556066,376,376
Recreation and Culture,1492094760,1522950759,RP_TempEmployeeInfo_Detail_ActiveQtr,212,16,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/RP_TempEmployeeInfo_Detail_ActiveQtr/wzwj-66qq,1522950625,381,24
Transportation,1486162677,1486494163,TPW_PerformanceMeasures,187,15,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/TPW_PerformanceMeasures/jwpb-rhnm,1486494192,450,446
HR Department,1491838194,1519921057,HR_EmployeeInfo,344,14,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/HR-Department/HR_EmployeeInfo/9pyk-cynu,1519920087,384,59
Water Department,1517438748,1522872347,Types of Debris Removed 2017/2018,19,13,"['trash', 'creek stewardship', 'homeless', 'sac crew', 'creek', 'waterway', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Types-of-Debris-Removed-2017-2018/6tyq-9nhw,1522871943,88,25
Water Department,1489084511,1491426043,Water Reuse Plant Effluent Flow,250,11,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Water-Reuse-Plant-Effluent-Flow/amkh-x6aw,1491425940,416,416
Water Department,1491424107,1491424776,System Water Loss,214,11,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/System-Water-Loss/t8hs-qbxa,1491424588,389,389
Government,1523898694,1523898774,HR Performance Measures Spreadsheet 2018 Update,0,10,"['hr performance measures', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/HR-Performance-Measures-Spreadsheet-2018-Update/2hn6-r7zk,1523898769,13,13
Water Department,1489509025,1491426231,Safe Medicine Disposal,494,9,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Safe-Medicine-Disposal/i24x-w5uu,1491426119,411,411
Government,1523902002,1523902791,Workers' Comp Data,0,8,"['wrokers compensation', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/Workers-Comp-Data/f5nq-ydif,1523902699,13,13
Water Department,1517435990,1517436129,Trash Types 2017/2018,1,8,"['trash', 'creek stewardship', 'homeless', 'sac crew', 'creek', 'waterway', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Trash-Types-2017-2018/8xvx-er35,1517436144,88,88
Government,1523854250,1523854331,"SRcity Public Wifi - Clients Served - April 1, 2017 - April 1, 2018",0,3,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/SRcity-Public-Wifi-Clients-Served-April-1-2017-Apr/3xv7-ziji,1523854315,14,14
Government,1524079091,1524079162,Analytics-srcity.org-dailypageviews,0,3,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/Analytics-srcity-org-dailypageviews/rf3x-8wzd,1524079136,11,11
Government,1523891430,1523891498,SRcity.org Visitors - Browser Type Overview,0,2,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/SRcity-org-Visitors-Browser-Type-Overview/app4-q6wf,1523891504,13,13
Government,1523852533,1523852600,"Top25 srcity.org Pages - April 1, 2017 - April 1, 2018",0,2,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/Top25-srcity-org-Pages-April-1-2017-April-1-2018/9b53-vygr,1523852594,14,14
Government,1523851984,1523852100,October 2017 srcity.org Page Ranking,1,2,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/October-2017-srcity-org-Page-Ranking/wjkj-97jr,1523852096,14,14
Government,1523660899,1523661036,SRcity.org Visitors Overview,1,2,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/SRcity-org-Visitors-Overview/p4dy-ipzu,1523661053,16,16
Government,1524081662,1524081737,Srcity.org-October2017-Firestorm-20171007-20171020,0,2,"['srcity.org', 'internet', 'website', 'traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/Srcity-org-October2017-Firestorm-20171007-20171020/4pfb-f5ch,1524081735,11,11
